Date,value
male-10,270
female-10,66
whites-10,284
blacks-10,10
male-20,65
female-20,46
whites-20,97
blacks-20,3
male-30,206
female-30,76
whites-30,255
blacks-30,6
male-40,86
female-40,14
whites-40,96
blacks-40,1
male-50,326
female-50,107
whites-50,372
blacks-50,4
male-70,97
female-70,41
whites-70,127
blacks-70,0
male-80,211
female-80,85
whites-80,262
blacks-80,5
male-90,26
female-90,7
whites-90,29
blacks-90,1
male-130,75
female-130,11
whites-130,75
blacks-130,0
male-150,90
female-150,22
whites-150,109
blacks-150,0
male-160,44
female-160,12
whites-160,53
blacks-160,0
male-230,173
female-230,46
whites-230,198
blacks-230,2
male-380,191
female-380,28
whites-380,171
blacks-380,5
male-420,449
female-420,226
whites-420,574
blacks-420,6
male-480,138
female-480,69
whites-480,172
blacks-480,5
male-610,229
female-610,48
whites-610,233
blacks-610,6
male-670,106
female-670,47
whites-670,124
blacks-670,1
male-750,251
female-750,94
whites-750,304
blacks-750,3
male-1000,446
female-1000,171
whites-1000,536
blacks-1000,8
male-2000,937
female-2000,257
whites-2000,1090
blacks-2000,15
male-3000,225
female-3000,102
whites-3000,282
blacks-3000,10
male-4000,187
female-4000,88
whites-4000,242
blacks-4000,5
male-11000,292
female-11000,66
whites-11000,326
blacks-11000,5
male-12000,497
female-12000,114
whites-12000,490
blacks-12000,12
male-13000,441
female-13000,175
whites-13000,565
blacks-13000,11
male-14000,1493
female-14000,409
whites-14000,1721
blacks-14000,32
male-16000,587
female-16000,152
whites-16000,636
blacks-16000,21
male-17000,680
female-17000,183
whites-17000,798
blacks-17000,6
male-21000,402
female-21000,158
whites-21000,526
blacks-21000,4
male-22000,767
female-22000,143
whites-22000,817
blacks-22000,11
